Strain	Bead	Day	Trial	Count	Eggs
CR3	C	5	1	9	0
CR3	C	5	2	5	2
CR3	C	5	3	7	1
CR3	C	5	4	6	0
CR3	C	5	5	8	0
CR3	L	5	1	5	1
CR3	L	5	2	6	1
CR3	L	5	3	9	0
CR3	L	5	4	9	3
CR3	L	5	5	6	0
CR3	M	5	1	2	0
CR3	M	5	2	5	0
CR3	M	5	3	6	2
CR3	M	5	4	4	0
CR3	M	5	5	4	0
CR3	H	5	1	4	1
CR3	H	5	2	1	0
CR3	H	5	3	4	2
CR3	H	5	4	3	0
CR3	H	5	5	4	0
CR4	C	5	1	14	4
CR4	C	5	2	12	3
CR4	C	5	3	14	5
CR4	C	5	4	16	7
CR4	C	5	5	16	3
CR4	L	5	1	11	3
CR4	L	5	2	12	4
CR4	L	5	3	6	2
CR4	L	5	4	12	0
CR4	L	5	5	9	1
CR4	M	5	1	6	2
CR4	M	5	2	14	4
CR4	M	5	3	11	3
CR4	M	5	4	0	2
CR4	M	5	5	7	3
CR4	H	5	1	2	0
CR4	H	5	2	2	0
CR4	H	5	3	1	0
CR4	H	5	4	5	3
CR4	H	5	5	3	0
CR5	C	5	1	17	7
CR5	C	5	2	20	4
CR5	C	5	3	17	3
CR5	C	5	4	14	6
CR5	C	5	5	21	8
CR5	L	5	1	12	4
CR5	L	5	2	5	0
CR5	L	5	3	12	3
CR5	L	5	4	12	1
CR5	L	5	5	17	0
CR5	M	5	1	8	1
CR5	M	5	2	11	7
CR5	M	5	3	8	3
CR5	M	5	4	10	5
CR5	M	5	5	11	3
CR5	H	5	1	1	0
CR5	H	5	2	3	0
CR5	H	5	3	5	0
CR5	H	5	4	3	2
CR5	H	5	5	0	0
CR6	C	5	1	12	4
CR6	C	5	2	15	0
CR6	C	5	3	16	7
CR6	C	5	4	17	3
CR6	C	5	5	9	3
CR6	L	5	1	14	10
CR6	L	5	2	10	2
CR6	L	5	3	14	3
CR6	L	5	4	9	2
CR6	L	5	5	15	5
CR6	M	5	1	5	5
CR6	M	5	2	6	1
CR6	M	5	3	10	5
CR6	M	5	4	0	0
CR6	M	5	5	7	3
CR6	H	5	1	1	0
CR6	H	5	2	0	0
CR6	H	5	3	1	0
CR6	H	5	4	0	0
CR6	H	5	5	3	0
