"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"
"CR2"	"L"	7.3	0.0341	0.02728	0.04092
"CR2"	"L"	7.4	0.0343	0.02744	0.04116
"CR2"	"L"	7.5	0.0345	0.0276	0.0414
"CR2"	"L"	7.6	0.0346	0.02768	0.04152
"CR2"	"L"	7.7	0.0348	0.02784	0.04176
"CR2"	"L"	7.8	0.035	0.028	0.042
"CR2"	"L"	7.9	0.0352	0.02816	0.04224
"CR2"	"L"	8	0.0353	0.02824	0.04236
"CR2"	"L"	8.1	0.0355	0.0284	0.0426
"CR2"	"L"	8.2	0.0356	0.02848	0.04272
"CR2"	"L"	8.3	0.0358	0.02864	0.04296
"CR2"	"L"	8.4	0.0359	0.02872	0.04308
"CR2"	"L"	8.5	0.0361	0.02888	0.04332
"CR2"	"L"	8.6	0.0362	0.02896	0.04344
"CR2"	"L"	8.7	0.0364	0.02912	0.04368
"CR2"	"L"	8.8	0.0365	0.0292	0.0438
"CR2"	"L"	8.9	0.0366	0.02928	0.04392
"CR2"	"L"	9	0.0368	0.02944	0.04416
"CR2"	"L"	9.1	0.0369	0.02952	0.04428
"CR2"	"L"	9.2	0.0371	0.02968	0.04452
"CR2"	"L"	9.3	0.0372	0.02976	0.04464
"CR2"	"L"	9.4	0.0373	0.02984	0.04476
"CR2"	"L"	9.5	0.0375	0.03	0.045
"CR2"	"L"	9.6	0.0376	0.03008	0.04512
"CR2"	"L"	9.7	0.0377	0.03016	0.04524
"CR2"	"L"	9.8	0.0378	0.03024	0.04536
"CR2"	"L"	9.9	0.0379	0.03032	0.04548
"CR2"	"L"	10	0.0381	0.03048	0.04572
"CR2"	"L"	10.1	0.0382	0.03056	0.04584
"CR2"	"L"	10.2	0.0383	0.03064	0.04596
"CR2"	"L"	10.3	0.0384	0.03072	0.04608
"CR2"	"L"	10.4	0.0386	0.03088	0.04632
"CR2"	"L"	10.5	0.0386	0.03088	0.04632
"CR2"	"L"	10.6	0.0388	0.03104	0.04656
"CR2"	"L"	10.7	0.0389	0.03112	0.04668
"CR2"	"L"	10.8	0.039	0.0312	0.0468
"CR2"	"L"	10.9	0.0391	0.03128	0.04692
"CR2"	"L"	11	0.0392	0.03136	0.04704
"CR2"	"L"	11.1	0.0393	0.03144	0.04716
"CR2"	"L"	11.2	0.0394	0.03152	0.04728
"CR2"	"L"	11.3	0.0395	0.0316	0.0474
"CR2"	"L"	11.4	0.0396	0.03168	0.04752
"CR2"	"L"	11.5	0.0397	0.03176	0.04764
"CR2"	"L"	11.6	0.0398	0.03184	0.04776
"CR2"	"L"	11.7	0.0399	0.03192	0.04788
"CR2"	"L"	11.8	0.04	0.032	0.048
"CR2"	"L"	11.9	0.0401	0.03208	0.04812
"CR2"	"L"	12	0.0402	0.03216	0.04824
"CR2"	"L"	12.1	0.0403	0.03224	0.04836
"CR2"	"L"	12.2	0.0404	0.03232	0.04848
"CR2"	"L"	12.3	0.0404	0.03232	0.04848
"CR2"	"L"	12.4	0.0406	0.03248	0.04872
"CR2"	"L"	12.5	0.0406	0.03248	0.04872
"CR2"	"L"	12.6	0.0407	0.03256	0.04884
"CR2"	"L"	12.7	0.0408	0.03264	0.04896
"CR2"	"L"	12.8	0.0409	0.03272	0.04908
"CR2"	"L"	12.9	0.041	0.0328	0.0492
"CR2"	"L"	13	0.0411	0.03288	0.04932
"CR2"	"L"	13.1	0.0411	0.03288	0.04932
"CR2"	"L"	13.2	0.0412	0.03296	0.04944
"CR2"	"L"	13.3	0.0413	0.03304	0.04956
"CR2"	"L"	13.4	0.0414	0.03312	0.04968
"CR2"	"L"	13.5	0.0414	0.03312	0.04968
"CR2"	"L"	13.6	0.0415	0.0332	0.0498
"CR2"	"L"	13.7	0.0416	0.03328	0.04992
"CR2"	"L"	13.8	0.0417	0.03336	0.05004
"CR2"	"L"	13.9	0.0418	0.03344	0.05016
"CR2"	"L"	14	0.0418	0.03344	0.05016
"CR2"	"L"	14.1	0.0419	0.03352	0.05028
"CR2"	"L"	14.2	0.042	0.0336	0.0504
"CR2"	"L"	14.3	0.042	0.0336	0.0504
"CR2"	"L"	14.4	0.0421	0.03368	0.05052
"CR2"	"L"	14.5	0.0422	0.03376	0.05064
"CR2"	"L"	14.6	0.0423	0.03384	0.05076
"CR2"	"L"	14.7	0.0423	0.03384	0.05076
"CR2"	"L"	14.8	0.0424	0.03392	0.05088
"CR2"	"L"	14.9	0.0424	0.03392	0.05088
"CR2"	"L"	15	0.0425	0.034	0.051
"CR3"	"L"	0.1	0.0013	0.00104	0.00156
"CR3"	"L"	0.2	0.0024	0.00192	0.00288
"CR3"	"L"	0.3	0.0035	0.0028	0.0042
"CR3"	"L"	0.4	0.0045	0.0036	0.0054
"CR3"	"L"	0.5	0.0055	0.0044	0.0066
"CR3"	"L"	0.6	0.0064	0.00512	0.00768
"CR3"	"L"	0.7	0.0072	0.00576	0.00864
"CR3"	"L"	0.8	0.008	0.0064	0.0096
"CR3"	"L"	0.9	0.0088	0.00704	0.01056
"CR3"	"L"	1	0.0094	0.00752	0.01128
"CR3"	"L"	1.1	0.0101	0.00808	0.01212
"CR3"	"L"	1.2	0.0107	0.00856	0.01284
"CR3"	"L"	1.3	0.0114	0.00912	0.01368
"CR3"	"L"	1.4	0.012	0.0096	0.0144
"CR3"	"L"	1.5	0.0125	0.01	0.015
"CR3"	"L"	1.6	0.013	0.0104	0.0156
"CR3"	"L"	1.7	0.0135	0.0108	0.0162
"CR3"	"L"	1.8	0.014	0.0112	0.0168
"CR3"	"L"	1.9	0.0144	0.01152	0.01728
"CR3"	"L"	2	0.0149	0.01192	0.01788
"CR3"	"L"	2.1	0.0153	0.01224	0.01836
"CR3"	"L"	2.2	0.0157	0.01256	0.01884
"CR3"	"L"	2.3	0.016	0.0128	0.0192
"CR3"	"L"	2.4	0.0164	0.01312	0.01968
"CR3"	"L"	2.5	0.0168	0.01344	0.02016
"CR3"	"L"	2.6	0.0171	0.01368	0.02052
"CR3"	"L"	2.7	0.0174	0.01392	0.02088
"CR3"	"L"	2.8	0.0177	0.01416	0.02124
"CR3"	"L"	2.9	0.0181	0.01448	0.02172
"CR3"	"L"	3	0.0184	0.01472	0.02208
"CR3"	"L"	3.1	0.0186	0.01488	0.02232
"CR3"	"L"	3.2	0.0189	0.01512	0.02268
"CR3"	"L"	3.3	0.0192	0.01536	0.02304
"CR3"	"L"	3.4	0.0194	0.01552	0.02328
"CR3"	"L"	3.5	0.0197	0.01576	0.02364
"CR3"	"L"	3.6	0.0199	0.01592	0.02388
"CR3"	"L"	3.7	0.0202	0.01616	0.02424
"CR3"	"L"	3.8	0.0204	0.01632	0.02448
"CR3"	"L"	3.9	0.0206	0.01648	0.02472
"CR3"	"L"	4	0.0208	0.01664	0.02496
"CR3"	"L"	4.1	0.021	0.0168	0.0252
"CR3"	"L"	4.2	0.0212	0.01696	0.02544
"CR3"	"L"	4.3	0.0214	0.01712	0.02568
"CR3"	"L"	4.4	0.0216	0.01728	0.02592
"CR3"	"L"	4.5	0.0217	0.01736	0.02604
"CR3"	"L"	4.6	0.0219	0.01752	0.02628
"CR3"	"L"	4.7	0.0221	0.01768	0.02652
"CR3"	"L"	4.8	0.0223	0.01784	0.02676
"CR3"	"L"	4.9	0.0224	0.01792	0.02688
"CR3"	"L"	5	0.0226	0.01808	0.02712
"CR3"	"L"	5.1	0.0227	0.01816	0.02724
"CR3"	"L"	5.2	0.0229	0.01832	0.02748
"CR3"	"L"	5.3	0.023	0.0184	0.0276
"CR3"	"L"	5.4	0.0232	0.01856	0.02784
"CR3"	"L"	5.5	0.0233	0.01864	0.02796
"CR3"	"L"	5.6	0.0234	0.01872	0.02808
"CR3"	"L"	5.7	0.0236	0.01888	0.02832
"CR3"	"L"	5.8	0.0237	0.01896	0.02844
"CR3"	"L"	5.9	0.0238	0.01904	0.02856
"CR3"	"L"	6	0.0239	0.01912	0.02868
"CR3"	"L"	6.1	0.0241	0.01928	0.02892
"CR3"	"L"	6.2	0.0242	0.01936	0.02904
"CR3"	"L"	6.3	0.0243	0.01944	0.02916
"CR3"	"L"	6.4	0.0244	0.01952	0.02928
"CR3"	"L"	6.5	0.0245	0.0196	0.0294
"CR3"	"L"	6.6	0.0246	0.01968	0.02952
"CR3"	"L"	6.7	0.0248	0.01984	0.02976
"CR3"	"L"	6.8	0.0249	0.01992	0.02988
"CR3"	"L"	6.9	0.025	0.02	0.03
"CR3"	"L"	7	0.025	0.02	0.03
"CR3"	"L"	7.1	0.0251	0.02008	0.03012
"CR3"	"L"	7.2	0.0253	0.02024	0.03036
"CR3"	"L"	7.3	0.0253	0.02024	0.03036
"CR3"	"L"	7.4	0.0254	0.02032	0.03048
"CR3"	"L"	7.5	0.0255	0.0204	0.0306
"CR3"	"L"	7.6	0.0256	0.02048	0.03072
"CR3"	"L"	7.7	0.0257	0.02056	0.03084
"CR3"	"L"	7.8	0.0258	0.02064	0.03096
"CR3"	"L"	7.9	0.0259	0.02072	0.03108
"CR3"	"L"	8	0.0259	0.02072	0.03108
"CR3"	"L"	8.1	0.026	0.0208	0.0312
"CR3"	"L"	8.2	0.0261	0.02088	0.03132
"CR3"	"L"	8.3	0.0262	0.02096	0.03144
"CR3"	"L"	8.4	0.0262	0.02096	0.03144
"CR3"	"L"	8.5	0.0263	0.02104	0.03156
"CR3"	"L"	8.6	0.0264	0.02112	0.03168
"CR3"	"L"	8.7	0.0265	0.0212	0.0318
"CR3"	"L"	8.8	0.0265	0.0212	0.0318
"CR3"	"L"	8.9	0.0266	0.02128	0.03192
"CR3"	"L"	9	0.0266	0.02128	0.03192
"CR3"	"L"	9.1	0.0267	0.02136	0.03204
"CR3"	"L"	9.2	0.0268	0.02144	0.03216
"CR3"	"L"	9.3	0.0268	0.02144	0.03216
"CR3"	"L"	9.4	0.0269	0.02152	0.03228
"CR3"	"L"	9.5	0.027	0.0216	0.0324
"CR3"	"L"	9.6	0.0271	0.02168	0.03252
"CR3"	"L"	9.7	0.0271	0.02168	0.03252
"CR3"	"L"	9.8	0.0272	0.02176	0.03264
"CR3"	"L"	9.9	0.0272	0.02176	0.03264
"CR3"	"L"	10	0.0273	0.02184	0.03276
"CR3"	"L"	10.1	0.0273	0.02184	0.03276
"CR3"	"L"	10.2	0.0274	0.02192	0.03288
"CR3"	"L"	10.3	0.0274	0.02192	0.03288
"CR3"	"L"	10.4	0.0275	0.022	0.033
"CR3"	"L"	10.5	0.0276	0.02208	0.03312
"CR3"	"L"	10.6	0.0276	0.02208	0.03312
"CR3"	"L"	10.7	0.0277	0.02216	0.03324
"CR3"	"L"	10.8	0.0277	0.02216	0.03324
"CR3"	"L"	10.9	0.0278	0.02224	0.03336
"CR3"	"L"	11	0.0278	0.02224	0.03336
"CR3"	"L"	11.1	0.0278	0.02224	0.03336
"CR3"	"L"	11.2	0.0279	0.02232	0.03348
"CR3"	"L"	11.3	0.0279	0.02232	0.03348
"CR3"	"L"	11.4	0.028	0.0224	0.0336
"CR3"	"L"	11.5	0.028	0.0224	0.0336
"CR3"	"L"	11.6	0.0281	0.02248	0.03372
"CR3"	"L"	11.7	0.0281	0.02248	0.03372
"CR3"	"L"	11.8	0.0282	0.02256	0.03384
"CR3"	"L"	11.9	0.0282	0.02256	0.03384
"CR3"	"L"	12	0.0283	0.02264	0.03396
"CR3"	"L"	12.1	0.0283	0.02264	0.03396
"CR3"	"L"	12.2	0.0283	0.02264	0.03396
"CR3"	"L"	12.3	0.0284	0.02272	0.03408
"CR3"	"L"	12.4	0.0284	0.02272	0.03408
"CR3"	"L"	12.5	0.0284	0.02272	0.03408
"CR3"	"L"	12.6	0.0285	0.0228	0.0342
"CR3"	"L"	12.7	0.0285	0.0228	0.0342
"CR3"	"L"	12.8	0.0286	0.02288	0.03432
"CR3"	"L"	12.9	0.0286	0.02288	0.03432
"CR3"	"L"	13	0.0286	0.02288	0.03432
"CR3"	"L"	13.1	0.0287	0.02296	0.03444
"CR3"	"L"	13.2	0.0287	0.02296	0.03444
"CR3"	"L"	13.3	0.0288	0.02304	0.03456
"CR3"	"L"	13.4	0.0288	0.02304	0.03456
"CR3"	"L"	13.5	0.0288	0.02304	0.03456
"CR3"	"L"	13.6	0.0289	0.02312	0.03468
"CR3"	"L"	13.7	0.0289	0.02312	0.03468
"CR3"	"L"	13.8	0.0289	0.02312	0.03468
"CR3"	"L"	13.9	0.029	0.0232	0.0348
"CR3"	"L"	14	0.029	0.0232	0.0348
"CR3"	"L"	14.1	0.029	0.0232	0.0348
"CR3"	"L"	14.2	0.029	0.0232	0.0348
"CR3"	"L"	14.3	0.0291	0.02328	0.03492
"CR3"	"L"	14.4	0.0291	0.02328	0.03492
"CR3"	"L"	14.5	0.0291	0.02328	0.03492
"CR3"	"L"	14.6	0.0292	0.02336	0.03504
"CR3"	"L"	14.7	0.0292	0.02336	0.03504
"CR3"	"L"	14.8	0.0292	0.02336	0.03504
"CR3"	"L"	14.9	0.0293	0.02344	0.03516
"CR3"	"L"	15	0.0293	0.02344	0.03516
"CR4"	"L"	0.1	0.0097	0.00776	0.01164
"CR4"	"L"	0.2	0.018	0.0144	0.0216
"CR4"	"L"	0.3	0.025	0.02	0.03
"CR4"	"L"	0.4	0.0312	0.02496	0.03744
"CR4"	"L"	0.5	0.0365	0.0292	0.0438
"CR4"	"L"	0.6	0.0412	0.03296	0.0492
"CR4"	"L"	0.7	0.0452	0.03616	0.0538
"CR4"	"L"	0.8	0.0488	0.03904	0.0579
"CR4"	"L"	0.9	0.052	0.0417	0.0614
"CR4"	"L"	1	0.0549	0.0442	0.0646
"CR4"	"L"	1.1	0.0574	0.0466	0.0674
"CR4"	"L"	1.2	0.0597	0.0486	0.0699
"CR4"	"L"	1.3	0.0618	0.0506	0.0722
"CR4"	"L"	1.4	0.0637	0.0524	0.0742
"CR4"	"L"	1.5	0.0654	0.054	0.0761
"CR4"	"L"	1.6	0.0669	0.0555	0.0777
"CR4"	"L"	1.7	0.0684	0.0569	0.0792
"CR4"	"L"	1.8	0.0697	0.0582	0.0806
"CR4"	"L"	1.9	0.071	0.0594	0.0819
"CR4"	"L"	2	0.0721	0.0605	0.0832
"CR4"	"L"	2.1	0.0732	0.0616	0.0843
"CR4"	"L"	2.2	0.0741	0.0626	0.0853
"CR4"	"L"	2.3	0.0751	0.0635	0.0862
"CR4"	"L"	2.4	0.0759	0.0644	0.0871
"CR4"	"L"	2.5	0.0768	0.0652	0.0879
"CR4"	"L"	2.6	0.0775	0.066	0.0887
"CR4"	"L"	2.7	0.0782	0.0667	0.0894
"CR4"	"L"	2.8	0.0789	0.0674	0.0901
"CR4"	"L"	2.9	0.0795	0.0681	0.0907
"CR4"	"L"	3	0.0801	0.0687	0.0914
"CR4"	"L"	3.1	0.0807	0.0693	0.0919
"CR4"	"L"	3.2	0.0812	0.0699	0.0925
"CR4"	"L"	3.3	0.0818	0.0704	0.093
"CR4"	"L"	3.4	0.0822	0.0709	0.0935
"CR4"	"L"	3.5	0.0827	0.0714	0.0939
"CR4"	"L"	3.6	0.0831	0.0719	0.0944
"CR4"	"L"	3.7	0.0836	0.0723	0.0948
"CR4"	"L"	3.8	0.0839	0.0728	0.0952
"CR4"	"L"	3.9	0.0843	0.0732	0.0956
"CR4"	"L"	4	0.0847	0.0736	0.0959
"CR4"	"L"	4.1	0.0851	0.074	0.0963
"CR4"	"L"	4.2	0.0854	0.0743	0.0966
"CR4"	"L"	4.3	0.0857	0.0747	0.0969
"CR4"	"L"	4.4	0.086	0.075	0.0973
"CR4"	"L"	4.5	0.0863	0.0754	0.0975
"CR4"	"L"	4.6	0.0866	0.0757	0.0978
"CR4"	"L"	4.7	0.0869	0.076	0.0981
"CR4"	"L"	4.8	0.0872	0.0762	0.0984
"CR4"	"L"	4.9	0.0874	0.0766	0.0986
"CR4"	"L"	5	0.0877	0.0768	0.0988
"CR4"	"L"	5.1	0.0879	0.0771	0.0991
"CR4"	"L"	5.2	0.0882	0.0773	0.0993
"CR4"	"L"	5.3	0.0884	0.0776	0.0996
"CR4"	"L"	5.4	0.0886	0.0778	0.0998
"CR4"	"L"	5.5	0.0888	0.078	0.0999
"CR4"	"L"	5.6	0.089	0.0783	0.1002
"CR4"	"L"	5.7	0.0892	0.0785	0.1003
"CR4"	"L"	5.8	0.0894	0.0787	0.1005
"CR4"	"L"	5.9	0.0896	0.0789	0.1007
"CR4"	"L"	6	0.0897	0.0791	0.1009
"CR4"	"L"	6.1	0.0899	0.0793	0.101
"CR4"	"L"	6.2	0.0901	0.0795	0.1012
"CR4"	"L"	6.3	0.0902	0.0797	0.1014
"CR4"	"L"	6.4	0.0904	0.0799	0.1015
"CR4"	"L"	6.5	0.0906	0.08	0.1017
"CR4"	"L"	6.6	0.0907	0.0802	0.1018
"CR4"	"L"	6.7	0.0908	0.0804	0.102
"CR4"	"L"	6.8	0.091	0.0805	0.1021
"CR4"	"L"	6.9	0.0911	0.0807	0.1022
"CR4"	"L"	7	0.0913	0.0808	0.1023
"CR4"	"L"	7.1	0.0914	0.081	0.1025
"CR4"	"L"	7.2	0.0915	0.0811	0.1026
"CR4"	"L"	7.3	0.0916	0.0813	0.1027
"CR4"	"L"	7.4	0.0918	0.0814	0.1028
"CR4"	"L"	7.5	0.0919	0.0815	0.103
"CR4"	"L"	7.6	0.092	0.0816	0.1031
"CR4"	"L"	7.7	0.0921	0.0818	0.1032
"CR4"	"L"	7.8	0.0922	0.0819	0.1033
"CR4"	"L"	7.9	0.0923	0.082	0.1034
"CR4"	"L"	8	0.0924	0.0822	0.1035
"CR4"	"L"	8.1	0.0925	0.0823	0.1036
"CR4"	"L"	8.2	0.0926	0.0824	0.1037
"CR4"	"L"	8.3	0.0927	0.0825	0.1038
"CR4"	"L"	8.4	0.0928	0.0826	0.1039
"CR4"	"L"	8.5	0.0929	0.0827	0.104
"CR4"	"L"	8.6	0.093	0.0828	0.1041
"CR4"	"L"	8.7	0.0931	0.0829	0.1041
"CR4"	"L"	8.8	0.0932	0.083	0.1042
"CR4"	"L"	8.9	0.0933	0.0831	0.1043
"CR4"	"L"	9	0.0934	0.0832	0.1044
"CR4"	"L"	9.1	0.0935	0.0833	0.1044
"CR4"	"L"	9.2	0.0935	0.0834	0.1045
"CR4"	"L"	9.3	0.0936	0.0835	0.1046
"CR4"	"L"	9.4	0.0937	0.0836	0.1047
"CR4"	"L"	9.5	0.0938	0.0837	0.1047
"CR4"	"L"	9.6	0.0938	0.0838	0.1048
"CR4"	"L"	9.7	0.0939	0.0838	0.1049
"CR4"	"L"	9.8	0.094	0.0839	0.105
"CR4"	"L"	9.9	0.094	0.084	0.105
"CR4"	"L"	10	0.0941	0.0841	0.1051
"CR4"	"L"	10.1	0.0942	0.0842	0.1051
"CR4"	"L"	10.2	0.0942	0.0842	0.1052
"CR4"	"L"	10.3	0.0943	0.0843	0.1053
"CR4"	"L"	10.4	0.0944	0.0844	0.1054
"CR4"	"L"	10.5	0.0945	0.0844	0.1054
"CR4"	"L"	10.6	0.0945	0.0845	0.1055
"CR4"	"L"	10.7	0.0945	0.0846	0.1055
"CR4"	"L"	10.8	0.0946	0.0847	0.1056
"CR4"	"L"	10.9	0.0947	0.0847	0.1056
"CR4"	"L"	11	0.0947	0.0848	0.1057
"CR4"	"L"	11.1	0.0948	0.0848	0.1057
"CR4"	"L"	11.2	0.0949	0.0849	0.1058
"CR4"	"L"	11.3	0.0949	0.085	0.1058
"CR4"	"L"	11.4	0.095	0.085	0.1059
"CR4"	"L"	11.5	0.095	0.0851	0.106
"CR4"	"L"	11.6	0.095	0.0852	0.106
"CR4"	"L"	11.7	0.0951	0.0852	0.1061
"CR4"	"L"	11.8	0.0951	0.0853	0.1061
"CR4"	"L"	11.9	0.0952	0.0853	0.1061
"CR4"	"L"	12	0.0952	0.0854	0.1062
"CR4"	"L"	12.1	0.0953	0.0854	0.1062
"CR4"	"L"	12.2	0.0954	0.0855	0.1063
"CR4"	"L"	12.3	0.0954	0.0856	0.1063
"CR4"	"L"	12.4	0.0954	0.0856	0.1064
"CR4"	"L"	12.5	0.0955	0.0857	0.1064
"CR4"	"L"	12.6	0.0955	0.0857	0.1065
"CR4"	"L"	12.7	0.0956	0.0858	0.1065
"CR4"	"L"	12.8	0.0956	0.0858	0.1065
"CR4"	"L"	12.9	0.0956	0.0858	0.1066
"CR4"	"L"	13	0.0957	0.0859	0.1066
"CR4"	"L"	13.1	0.0958	0.086	0.1066
"CR4"	"L"	13.2	0.0958	0.086	0.1067
"CR4"	"L"	13.3	0.0958	0.0861	0.1067
"CR4"	"L"	13.4	0.0959	0.0861	0.1068
"CR4"	"L"	13.5	0.0959	0.0862	0.1068
"CR4"	"L"	13.6	0.0959	0.0862	0.1068
"CR4"	"L"	13.7	0.096	0.0862	0.1069
"CR4"	"L"	13.8	0.096	0.0863	0.1069
"CR4"	"L"	13.9	0.096	0.0863	0.107
"CR4"	"L"	14	0.0961	0.0863	0.107
"CR4"	"L"	14.1	0.0961	0.0864	0.107
"CR4"	"L"	14.2	0.0962	0.0864	0.1071
"CR4"	"L"	14.3	0.0962	0.0865	0.1071
"CR4"	"L"	14.4	0.0962	0.0865	0.1071
"CR4"	"L"	14.5	0.0963	0.0866	0.1071
"CR4"	"L"	14.6	0.0963	0.0866	0.1072
"CR4"	"L"	14.7	0.0963	0.0866	0.1072
"CR4"	"L"	14.8	0.0964	0.0867	0.1072
"CR4"	"L"	14.9	0.0964	0.0867	0.1073
"CR4"	"L"	15	0.0964	0.0867	0.1073
"CR5"	"L"	0.1	0.0038	0.00304	0.00456
"CR5"	"L"	0.2	0.0072	0.00576	0.00864
"CR5"	"L"	0.3	0.0101	0.00808	0.01212
"CR5"	"L"	0.4	0.0128	0.01024	0.01536
"CR5"	"L"	0.5	0.0152	0.01216	0.01824
"CR5"	"L"	0.6	0.0173	0.01384	0.02076
"CR5"	"L"	0.7	0.0192	0.01536	0.02304
"CR5"	"L"	0.8	0.021	0.0168	0.0252
"CR5"	"L"	0.9	0.0226	0.01808	0.02712
"CR5"	"L"	1	0.0241	0.01928	0.02892
"CR5"	"L"	1.1	0.0254	0.02032	0.03048
"CR5"	"L"	1.2	0.0267	0.02136	0.03204
"CR5"	"L"	1.3	0.0278	0.02224	0.03336
"CR5"	"L"	1.4	0.0289	0.02312	0.03468
"CR5"	"L"	1.5	0.0299	0.02392	0.03588
"CR5"	"L"	1.6	0.0308	0.02464	0.03696
"CR5"	"L"	1.7	0.0317	0.02536	0.03804
"CR5"	"L"	1.8	0.0325	0.026	0.039
"CR5"	"L"	1.9	0.0333	0.02664	0.03996
"CR5"	"L"	2	0.034	0.0272	0.0408
"CR5"	"L"	2.1	0.0346	0.02768	0.04152
"CR5"	"L"	2.2	0.0353	0.02824	0.04236
"CR5"	"L"	2.3	0.0359	0.02872	0.04308
"CR5"	"L"	2.4	0.0365	0.0292	0.0438
"CR5"	"L"	2.5	0.037	0.0296	0.0444
"CR5"	"L"	2.6	0.0375	0.03	0.045
"CR5"	"L"	2.7	0.038	0.0304	0.0456
"CR5"	"L"	2.8	0.0384	0.03072	0.04608
"CR5"	"L"	2.9	0.0389	0.03112	0.04668
"CR5"	"L"	3	0.0393	0.03144	0.04716
"CR5"	"L"	3.1	0.0397	0.03176	0.04764
"CR5"	"L"	3.2	0.0401	0.03208	0.04812
"CR5"	"L"	3.3	0.0404	0.03232	0.04848
"CR5"	"L"	3.4	0.0408	0.03264	0.04896
"CR5"	"L"	3.5	0.0411	0.03288	0.04932
"CR5"	"L"	3.6	0.0414	0.03312	0.04968
"CR5"	"L"	3.7	0.0417	0.03336	0.05004
"CR5"	"L"	3.8	0.042	0.0336	0.0504
"CR5"	"L"	3.9	0.0423	0.03384	0.05076
"CR5"	"L"	4	0.0426	0.03408	0.05112
"CR5"	"L"	4.1	0.0428	0.03424	0.05136
"CR5"	"L"	4.2	0.0431	0.03448	0.05172
"CR5"	"L"	4.3	0.0433	0.03464	0.05196
"CR5"	"L"	4.4	0.0436	0.03488	0.05232
"CR5"	"L"	4.5	0.0438	0.03504	0.05256
"CR5"	"L"	4.6	0.044	0.0352	0.0528
"CR5"	"L"	4.7	0.0442	0.03536	0.05304
"CR5"	"L"	4.8	0.0444	0.03552	0.05328
"CR5"	"L"	4.9	0.0446	0.03568	0.05352
"CR5"	"L"	5	0.0448	0.03584	0.05376
"CR5"	"L"	5.1	0.045	0.036	0.054
"CR5"	"L"	5.2	0.0452	0.03616	0.05424
"CR5"	"L"	5.3	0.0454	0.03632	0.05448
"CR5"	"L"	5.4	0.0455	0.0364	0.0546
"CR5"	"L"	5.5	0.0457	0.03656	0.05484
"CR5"	"L"	5.6	0.0458	0.03664	0.05496
"CR5"	"L"	5.7	0.046	0.0368	0.0552
"CR5"	"L"	5.8	0.0461	0.03688	0.05532
"CR5"	"L"	5.9	0.0463	0.03704	0.05556
"CR5"	"L"	6	0.0464	0.03712	0.05568
"CR5"	"L"	6.1	0.0466	0.03728	0.05592
"CR5"	"L"	6.2	0.0467	0.03736	0.05604
"CR5"	"L"	6.3	0.0469	0.03752	0.05628
"CR5"	"L"	6.4	0.047	0.0376	0.0564
"CR5"	"L"	6.5	0.0471	0.03768	0.05652
"CR5"	"L"	6.6	0.0472	0.03776	0.05664
"CR5"	"L"	6.7	0.0473	0.03784	0.05676
"CR5"	"L"	6.8	0.0474	0.03792	0.05688
"CR5"	"L"	6.9	0.0476	0.03808	0.05712
"CR5"	"L"	7	0.0477	0.03816	0.05724
"CR5"	"L"	7.1	0.0478	0.03824	0.05736
"CR5"	"L"	7.2	0.0479	0.03832	0.05748
"CR5"	"L"	7.3	0.048	0.0384	0.0576
"CR5"	"L"	7.4	0.0481	0.03848	0.05772
"CR5"	"L"	7.5	0.0482	0.03856	0.05784
"CR5"	"L"	7.6	0.0483	0.03864	0.05796
"CR5"	"L"	7.7	0.0483	0.03864	0.05796
"CR5"	"L"	7.8	0.0484	0.03872	0.05808
"CR5"	"L"	7.9	0.0486	0.03888	0.05832
"CR5"	"L"	8	0.0486	0.03888	0.05832
"CR5"	"L"	8.1	0.0487	0.03896	0.05844
"CR5"	"L"	8.2	0.0488	0.03904	0.05856
"CR5"	"L"	8.3	0.0489	0.03912	0.05868
"CR5"	"L"	8.4	0.049	0.0392	0.0588
"CR5"	"L"	8.5	0.049	0.0392	0.0588
"CR5"	"L"	8.6	0.0491	0.03928	0.05892
"CR5"	"L"	8.7	0.0492	0.03936	0.05904
"CR5"	"L"	8.8	0.0493	0.03944	0.05916
"CR5"	"L"	8.9	0.0493	0.03944	0.05916
"CR5"	"L"	9	0.0494	0.03952	0.05928
"CR5"	"L"	9.1	0.0495	0.0396	0.0594
"CR5"	"L"	9.2	0.0495	0.0396	0.0594
"CR5"	"L"	9.3	0.0496	0.03968	0.05952
"CR5"	"L"	9.4	0.0497	0.03976	0.05964
"CR5"	"L"	9.5	0.0497	0.03976	0.05964
"CR5"	"L"	9.6	0.0498	0.03984	0.05976
"CR5"	"L"	9.7	0.0498	0.03984	0.05976
"CR5"	"L"	9.8	0.0499	0.03992	0.05988
"CR5"	"L"	9.9	0.05	0.04	0.06
"CR5"	"L"	10	0.05	0.04	0.06
"CR5"	"L"	10.1	0.0501	0.04008	0.06012
"CR5"	"L"	10.2	0.0502	0.04016	0.06024
"CR5"	"L"	10.3	0.0502	0.04016	0.06024
"CR5"	"L"	10.4	0.0503	0.04024	0.06036
"CR5"	"L"	10.5	0.0503	0.04024	0.06036
"CR5"	"L"	10.6	0.0504	0.04032	0.06048
"CR5"	"L"	10.7	0.0504	0.04032	0.06048
"CR5"	"L"	10.8	0.0505	0.0404	0.0606
"CR5"	"L"	10.9	0.0505	0.0404	0.0606
"CR5"	"L"	11	0.0506	0.04048	0.06072
