"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"	"IngesPLCI"	"IngesPUCI"
"CR2"	"M"	0.7	0.0025	0.002	0.003	0.002	0.003
"CR2"	"M"	0.8	0.0028	0.00224	0.00336	0.00224	0.00336
"CR2"	"M"	0.9	0.0031	0.00248	0.00372	0.00248	0.00372
"CR2"	"M"	1	0.0034	0.00272	0.00408	0.00272	0.00408
"CR2"	"M"	1.1	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"M"	1.2	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"M"	1.3	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"M"	1.4	0.0045	0.0036	0.0054	0.0036	0.0054
"CR2"	"M"	1.5	0.0047	0.00376	0.00564	0.00376	0.00564
"CR2"	"M"	1.6	0.005	0.004	0.006	0.004	0.006
"CR2"	"M"	1.7	0.0052	0.00416	0.00624	0.00416	0.00624
"CR2"	"M"	1.8	0.0054	0.00432	0.00648	0.00432	0.00648
"CR2"	"M"	1.9	0.0057	0.00456	0.00684	0.00456	0.00684
"CR2"	"M"	2	0.0059	0.00472	0.00708	0.00472	0.00708
"CR2"	"M"	2.1	0.0061	0.00488	0.00732	0.00488	0.00732
"CR2"	"M"	2.2	0.0063	0.00504	0.00756	0.00504	0.00756
"CR2"	"M"	2.3	0.0065	0.0052	0.0078	0.0052	0.0078
"CR2"	"M"	2.4	0.0067	0.00536	0.00804	0.00536	0.00804
"CR2"	"M"	2.5	0.0069	0.00552	0.00828	0.00552	0.00828
"CR2"	"M"	2.6	0.0071	0.00568	0.00852	0.00568	0.00852
"CR2"	"M"	2.7	0.0072	0.00576	0.00864	0.00576	0.00864
"CR2"	"M"	2.8	0.0074	0.00592	0.00888	0.00592	0.00888
"CR2"	"M"	2.9	0.0076	0.00608	0.00912	0.00608	0.00912
"CR2"	"M"	3	0.0078	0.00624	0.00936	0.00624	0.00936
"CR2"	"M"	3.1	0.0079	0.00632	0.00948	0.00632	0.00948
"CR2"	"M"	3.2	0.0081	0.00648	0.00972	0.00648	0.00972
"CR2"	"M"	3.3	0.0082	0.00656	0.00984	0.00656	0.00984
"CR2"	"M"	3.4	0.0084	0.00672	0.01008	0.00672	0.01008
"CR2"	"M"	3.5	0.0085	0.0068	0.0102	0.0068	0.0102
"CR2"	"M"	3.6	0.0087	0.00696	0.01044	0.00696	0.01044
"CR2"	"M"	3.7	0.0088	0.00704	0.01056	0.00704	0.01056
"CR2"	"M"	3.8	0.009	0.0072	0.0108	0.0072	0.0108
"CR2"	"M"	3.9	0.0091	0.00728	0.01092	0.00728	0.01092
"CR2"	"M"	4	0.0092	0.00736	0.01104	0.00736	0.01104
"CR2"	"M"	4.1	0.0094	0.00752	0.01128	0.00752	0.01128
"CR2"	"M"	4.2	0.0095	0.0076	0.0114	0.0076	0.0114
"CR2"	"M"	4.3	0.0096	0.00768	0.01152	0.00768	0.01152
"CR2"	"M"	4.4	0.0097	0.00776	0.01164	0.00776	0.01164
"CR2"	"M"	4.5	0.0099	0.00792	0.01188	0.00792	0.01188
"CR2"	"M"	4.6	0.01	0.008	0.012	0.008	0.012
"CR2"	"M"	4.7	0.0101	0.00808	0.01212	0.00808	0.01212
"CR2"	"M"	4.8	0.0102	0.00816	0.01224	0.00816	0.01224
"CR2"	"M"	4.9	0.0103	0.00824	0.01236	0.00824	0.01236
"CR2"	"M"	5	0.0104	0.00832	0.01248	0.00832	0.01248
"CR2"	"M"	5.1	0.0105	0.0084	0.0126	0.0084	0.0126
"CR2"	"M"	5.2	0.0106	0.00848	0.01272	0.00848	0.01272
"CR2"	"M"	5.3	0.0107	0.00856	0.01284	0.00856	0.01284
"CR2"	"M"	5.4	0.0108	0.00864	0.01296	0.00864	0.01296
"CR2"	"M"	5.5	0.0109	0.00872	0.01308	0.00872	0.01308
"CR2"	"M"	5.6	0.011	0.0088	0.0132	0.0088	0.0132
"CR2"	"M"	5.7	0.0111	0.00888	0.01332	0.00888	0.01332
"CR2"	"M"	5.8	0.0112	0.00896	0.01344	0.00896	0.01344
"CR2"	"M"	5.9	0.0113	0.00904	0.01356	0.00904	0.01356
"CR2"	"M"	6	0.0114	0.00912	0.01368	0.00912	0.01368
"CR2"	"M"	6.1	0.0115	0.0092	0.0138	0.0092	0.0138
"CR2"	"M"	6.2	0.0116	0.00928	0.01392	0.00928	0.01392
"CR2"	"M"	6.3	0.0117	0.00936	0.01404	0.00936	0.01404
"CR2"	"M"	6.4	0.0118	0.00944	0.01416	0.00944	0.01416
"CR2"	"M"	6.5	0.0119	0.00952	0.01428	0.00952	0.01428
"CR2"	"M"	6.6	0.0119	0.00952	0.01428	0.00952	0.01428
"CR2"	"M"	6.7	0.012	0.0096	0.0144	0.0096	0.0144
"CR2"	"M"	6.8	0.0121	0.00968	0.01452	0.00968	0.01452
"CR2"	"M"	6.9	0.0122	0.00976	0.01464	0.00976	0.01464
"CR2"	"M"	7	0.0122	0.00976	0.01464	0.00976	0.01464
"CR2"	"M"	7.1	0.0123	0.00984	0.01476	0.00984	0.01476
"CR2"	"M"	7.2	0.0124	0.00992	0.01488	0.00992	0.01488
"CR2"	"M"	7.3	0.0125	0.01	0.015	0.01	0.015
"CR2"	"M"	7.4	0.0125	0.01	0.015	0.01	0.015
"CR2"	"M"	7.5	0.0126	0.01008	0.01512	0.01008	0.01512
"CR2"	"M"	7.6	0.0127	0.01016	0.01524	0.01016	0.01524
"CR2"	"M"	7.7	0.0128	0.01024	0.01536	0.01024	0.01536
"CR2"	"M"	7.8	0.0128	0.01024	0.01536	0.01024	0.01536
"CR2"	"M"	7.9	0.0129	0.01032	0.01548	0.01032	0.01548
"CR2"	"M"	8	0.013	0.0104	0.0156	0.0104	0.0156
"CR2"	"M"	8.1	0.013	0.0104	0.0156	0.0104	0.0156
"CR2"	"M"	8.2	0.0131	0.01048	0.01572	0.01048	0.01572
"CR2"	"M"	8.3	0.0131	0.01048	0.01572	0.01048	0.01572
"CR2"	"M"	8.4	0.0132	0.01056	0.01584	0.01056	0.01584
"CR2"	"M"	8.5	0.0133	0.01064	0.01596	0.01064	0.01596
"CR2"	"M"	8.6	0.0133	0.01064	0.01596	0.01064	0.01596
"CR2"	"M"	8.7	0.0134	0.01072	0.01608	0.01072	0.01608
"CR2"	"M"	8.8	0.0134	0.01072	0.01608	0.01072	0.01608
"CR2"	"M"	8.9	0.0135	0.0108	0.0162	0.0108	0.0162
"CR2"	"M"	9	0.0136	0.01088	0.01632	0.01088	0.01632
"CR2"	"M"	9.1	0.0136	0.01088	0.01632	0.01088	0.01632
"CR2"	"M"	9.2	0.0137	0.01096	0.01644	0.01096	0.01644
"CR2"	"M"	9.3	0.0137	0.01096	0.01644	0.01096	0.01644
"CR2"	"M"	9.4	0.0138	0.01104	0.01656	0.01104	0.01656
"CR2"	"M"	9.5	0.0138	0.01104	0.01656	0.01104	0.01656
"CR2"	"M"	9.6	0.0139	0.01112	0.01668	0.01112	0.01668
"CR2"	"M"	9.7	0.0139	0.01112	0.01668	0.01112	0.01668
"CR2"	"M"	9.8	0.014	0.0112	0.0168	0.0112	0.0168
"CR2"	"M"	9.9	0.014	0.0112	0.0168	0.0112	0.0168
"CR2"	"M"	10	0.0141	0.01128	0.01692	0.01128	0.01692
"CR2"	"M"	10.1	0.0141	0.01128	0.01692	0.01128	0.01692
"CR2"	"M"	10.2	0.0142	0.01136	0.01704	0.01136	0.01704
"CR2"	"M"	10.3	0.0142	0.01136	0.01704	0.01136	0.01704
"CR2"	"M"	10.4	0.0143	0.01144	0.01716	0.01144	0.01716
"CR2"	"M"	10.5	0.0143	0.01144	0.01716	0.01144	0.01716
"CR2"	"M"	10.6	0.0144	0.01152	0.01728	0.01152	0.01728
"CR2"	"M"	10.7	0.0144	0.01152	0.01728	0.01152	0.01728
"CR2"	"M"	10.8	0.0145	0.0116	0.0174	0.0116	0.0174
"CR2"	"M"	10.9	0.0145	0.0116	0.0174	0.0116	0.0174
"CR2"	"M"	11	0.0145	0.0116	0.0174	0.0116	0.0174
"CR2"	"M"	11.1	0.0146	0.01168	0.01752	0.01168	0.01752
"CR2"	"M"	11.2	0.0146	0.01168	0.01752	0.01168	0.01752
"CR2"	"M"	11.3	0.0147	0.01176	0.01764	0.01176	0.01764
"CR2"	"M"	11.4	0.0147	0.01176	0.01764	0.01176	0.01764
"CR2"	"M"	11.5	0.0148	0.01184	0.01776	0.01184	0.01776
"CR2"	"M"	11.6	0.0148	0.01184	0.01776	0.01184	0.01776
"CR2"	"M"	11.7	0.0148	0.01184	0.01776	0.01184	0.01776
"CR2"	"M"	11.8	0.0149	0.01192	0.01788	0.01192	0.01788
"CR2"	"M"	11.9	0.0149	0.01192	0.01788	0.01192	0.01788
"CR2"	"M"	12	0.015	0.012	0.018	0.012	0.018
"CR2"	"M"	12.1	0.015	0.012	0.018	0.012	0.018
"CR2"	"M"	12.2	0.015	0.012	0.018	0.012	0.018
"CR2"	"M"	12.3	0.0151	0.01208	0.01812	0.01208	0.01812
"CR2"	"M"	12.4	0.0151	0.01208	0.01812	0.01208	0.01812
"CR2"	"M"	12.5	0.0151	0.01208	0.01812	0.01208	0.01812
"CR2"	"M"	12.6	0.0152	0.01216	0.01824	0.01216	0.01824
"CR2"	"M"	12.7	0.0152	0.01216	0.01824	0.01216	0.01824
"CR2"	"M"	12.8	0.0153	0.01224	0.01836	0.01224	0.01836
"CR2"	"M"	12.9	0.0153	0.01224	0.01836	0.01224	0.01836
"CR2"	"M"	13	0.0153	0.01224	0.01836	0.01224	0.01836
"CR2"	"M"	13.1	0.0154	0.01232	0.01848	0.01232	0.01848
"CR2"	"M"	13.2	0.0154	0.01232	0.01848	0.01232	0.01848
"CR2"	"M"	13.3	0.0154	0.01232	0.01848	0.01232	0.01848
"CR2"	"M"	13.4	0.0155	0.0124	0.0186	0.0124	0.0186
"CR2"	"M"	13.5	0.0155	0.0124	0.0186	0.0124	0.0186
"CR2"	"M"	13.6	0.0155	0.0124	0.0186	0.0124	0.0186
"CR2"	"M"	13.7	0.0156	0.01248	0.01872	0.01248	0.01872
"CR2"	"M"	13.8	0.0156	0.01248	0.01872	0.01248	0.01872
"CR2"	"M"	13.9	0.0156	0.01248	0.01872	0.01248	0.01872
"CR2"	"M"	14	0.0157	0.01256	0.01884	0.01256	0.01884
"CR2"	"M"	14.1	0.0157	0.01256	0.01884	0.01256	0.01884
"CR2"	"M"	14.2	0.0157	0.01256	0.01884	0.01256	0.01884
"CR2"	"M"	14.3	0.0157	0.01256	0.01884	0.01256	0.01884
"CR2"	"M"	14.4	0.0158	0.01264	0.01896	0.01264	0.01896
"CR2"	"M"	14.5	0.0158	0.01264	0.01896	0.01264	0.01896
"CR2"	"M"	14.6	0.0158	0.01264	0.01896	0.01264	0.01896
"CR2"	"M"	14.7	0.0159	0.01272	0.01908	0.01272	0.01908
"CR2"	"M"	14.8	0.0159	0.01272	0.01908	0.01272	0.01908
"CR2"	"M"	14.9	0.0159	0.01272	0.01908	0.01272	0.01908
"CR2"	"M"	15	0.0159	0.01272	0.01908	0.01272	0.01908
"CR2"	"H"	0.1	7e-04	0.00056	0.00084	0.00056	0.00084
"CR2"	"H"	0.2	0.0012	0.00096	0.00144	0.00096	0.00144
"CR2"	"H"	0.3	0.0016	0.00128	0.00192	0.00128	0.00192
"CR2"	"H"	0.4	0.0019	0.00152	0.00228	0.00152	0.00228
"CR2"	"H"	0.5	0.0021	0.00168	0.00252	0.00168	0.00252
"CR2"	"H"	0.6	0.0023	0.00184	0.00276	0.00184	0.00276
"CR2"	"H"	0.7	0.0025	0.002	0.003	0.002	0.003
"CR2"	"H"	0.8	0.0026	0.00208	0.00312	0.00208	0.00312
"CR2"	"H"	0.9	0.0027	0.00216	0.00324	0.00216	0.00324
"CR2"	"H"	1	0.0028	0.00224	0.00336	0.00224	0.00336
"CR2"	"H"	1.1	0.0029	0.00232	0.00348	0.00232	0.00348
"CR2"	"H"	1.2	0.003	0.0024	0.0036	0.0024	0.0036
"CR2"	"H"	1.3	0.0031	0.00248	0.00372	0.00248	0.00372
"CR2"	"H"	1.4	0.0031	0.00248	0.00372	0.00248	0.00372
"CR2"	"H"	1.5	0.0032	0.00256	0.00384	0.00256	0.00384
"CR2"	"H"	1.6	0.0032	0.00256	0.00384	0.00256	0.00384
"CR2"	"H"	1.7	0.0033	0.00264	0.00396	0.00264	0.00396
"CR2"	"H"	1.8	0.0033	0.00264	0.00396	0.00264	0.00396
"CR2"	"H"	1.9	0.0034	0.00272	0.00408	0.00272	0.00408
"CR2"	"H"	2	0.0034	0.00272	0.00408	0.00272	0.00408
"CR2"	"H"	2.1	0.0034	0.00272	0.00408	0.00272	0.00408
"CR2"	"H"	2.2	0.0035	0.0028	0.0042	0.0028	0.0042
"CR2"	"H"	2.3	0.0035	0.0028	0.0042	0.0028	0.0042
"CR2"	"H"	2.4	0.0035	0.0028	0.0042	0.0028	0.0042
"CR2"	"H"	2.5	0.0036	0.00288	0.00432	0.00288	0.00432
"CR2"	"H"	2.6	0.0036	0.00288	0.00432	0.00288	0.00432
"CR2"	"H"	2.7	0.0036	0.00288	0.00432	0.00288	0.00432
"CR2"	"H"	2.8	0.0036	0.00288	0.00432	0.00288	0.00432
"CR2"	"H"	2.9	0.0036	0.00288	0.00432	0.00288	0.00432
"CR2"	"H"	3	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"H"	3.1	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"H"	3.2	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"H"	3.3	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"H"	3.4	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"H"	3.5	0.0037	0.00296	0.00444	0.00296	0.00444
"CR2"	"H"	3.6	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	3.7	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	3.8	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	3.9	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	4	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	4.1	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	4.2	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	4.3	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	4.4	0.0038	0.00304	0.00456	0.00304	0.00456
"CR2"	"H"	4.5	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	4.6	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	4.7	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	4.8	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	4.9	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.1	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.2	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.3	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.4	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.5	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.6	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.7	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.8	0.0039	0.00312	0.00468	0.00312	0.00468
"CR2"	"H"	5.9	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.1	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.2	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.3	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.4	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.5	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.6	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.7	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.8	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	6.9	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.1	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.2	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.3	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.4	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.5	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.6	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.7	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.8	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	7.9	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	8	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	8.1	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	8.2	0.004	0.0032	0.0048	0.0032	0.0048
"CR2"	"H"	8.3	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	8.4	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	8.5	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	8.6	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	8.7	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	8.8	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	8.9	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.1	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.3	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.4	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.5	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.6	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.7	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.8	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	9.9	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.1	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.3	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.4	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.5	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.6	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.7	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.8	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	10.9	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.1	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.3	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.4	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.5	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.6	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.7	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.8	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	11.9	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.1	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.3	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.4	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.5	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.6	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.7	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.8	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	12.9	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.1	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.3	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.4	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.5	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.6	0.0041	0.00328	0.00492	0.00328	0.00492
"CR2"	"H"	13.7	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	13.8	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	13.9	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.1	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.2	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.3	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.4	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.5	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.6	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.7	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.8	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	14.9	0.0042	0.00336	0.00504	0.00336	0.00504
"CR2"	"H"	15	0.0042	0.00336	0.00504	0.00336	0.00504
"CR3"	"C"	0.1	0.0015	0.0012	0.0018	0.0012	0.0018
"CR3"	"C"	0.2	0.0029	0.00232	0.00348	0.00232	0.00348
"CR3"	"C"	0.3	0.0043	0.00344	0.00516	0.00344	0.00516
"CR3"	"C"	0.4	0.0057	0.00456	0.00684	0.00456	0.00684
"CR3"	"C"	0.5	0.007	0.0056	0.0084	0.0056	0.0084
"CR3"	"C"	0.6	0.0082	0.00656	0.00984	0.00656	0.00984
"CR3"	"C"	0.7	0.0094	0.00752	0.01128	0.00752	0.01128
"CR3"	"C"	0.8	0.0105	0.0084	0.0126	0.0084	0.0126
"CR3"	"C"	0.9	0.0116	0.00928	0.01392	0.00928	0.01392
"CR3"	"C"	1	0.0127	0.01016	0.01524	0.01016	0.01524
"CR3"	"C"	1.1	0.0138	0.01104	0.01656	0.01104	0.01656
"CR3"	"C"	1.2	0.0148	0.01184	0.0177	0.01184	0.01776
"CR3"	"C"	1.3	0.0157	0.0127	0.0187	0.01256	0.01884
"CR3"	"C"	1.4	0.0167	0.0137	0.0197	0.01336	0.02004
"CR3"	"C"	1.5	0.0176	0.0146	0.0206	0.01408	0.02112
"CR3"	"C"	1.6	0.0184	0.0155	0.0214	0.01472	0.02208
"CR3"	"C"	1.7	0.0193	0.0163	0.0223	0.01544	0.02316
"CR3"	"C"	1.8	0.0201	0.0172	0.0231	0.01608	0.02412
"CR3"	"C"	1.9	0.0209	0.018	0.0238	0.01672	0.02508
"CR3"	"C"	2	0.0217	0.0189	0.0246	0.01736	0.02604
"CR3"	"C"	2.1	0.0225	0.0197	0.0253	0.018	0.027
"CR3"	"C"	2.2	0.0232	0.0205	0.0259	0.01856	0.02784
"CR3"	"C"	2.3	0.0239	0.0212	0.0266	0.01912	0.02868
"CR3"	"C"	2.4	0.0246	0.022	0.0272	0.01968	0.02952
"CR3"	"C"	2.5	0.0253	0.0227	0.0279	0.02024	0.03036
"CR3"	"C"	2.6	0.0259	0.0234	0.0285	0.02072	0.03108
"CR3"	"C"	2.7	0.0266	0.0241	0.0291	0.02128	0.03192
"CR3"	"C"	2.8	0.0272	0.0248	0.0296	0.02176	0.03264
"CR3"	"C"	2.9	0.0278	0.0254	0.0302	0.02224	0.03336
"CR3"	"C"	3	0.0284	0.026	0.0308	0.02272	0.03408
"CR3"	"C"	3.1	0.029	0.0266	0.0314	0.0232	0.0348
"CR3"	"C"	3.2	0.0295	0.0272	0.0319	0.0236	0.0354
"CR3"	"C"	3.3	0.0301	0.0277	0.0325	0.02408	0.03612
"CR3"	"C"	3.4	0.0306	0.0282	0.033	0.02448	0.03672
"CR3"	"C"	3.5	0.0312	0.0287	0.0336	0.02496	0.03744
"CR3"	"C"	3.6	0.0317	0.0292	0.0342	0.02536	0.03804
"CR3"	"C"	3.7	0.0322	0.0296	0.0347	0.02576	0.03864
"CR3"	"C"	3.8	0.0327	0.03	0.0353	0.02616	0.03924
"CR3"	"C"	3.9	0.0331	0.0304	0.0359	0.02648	0.03972
"CR3"	"C"	4	0.0336	0.0307	0.0364	0.02688	0.04032
"CR3"	"C"	4.1	0.034	0.0311	0.037	0.0272	0.0408
"CR3"	"C"	4.2	0.0345	0.0314	0.0376	0.0276	0.0414
"CR3"	"C"	4.3	0.0349	0.0317	0.0381	0.02792	0.04188
"CR3"	"C"	4.4	0.0353	0.032	0.0387	0.02824	0.04236
"CR3"	"C"	4.5	0.0358	0.0323	0.0392	0.02864	0.04296
"CR3"	"C"	4.6	0.0362	0.0326	0.0398	0.02896	0.04344
"CR3"	"C"	4.7	0.0366	0.0328	0.0403	0.02928	0.04392
"CR3"	"C"	4.8	0.037	0.0331	0.0409	0.0296	0.0444
"CR3"	"C"	4.9	0.0373	0.0333	0.0414	0.02984	0.04476
"CR3"	"C"	5	0.0377	0.0335	0.0419	0.03016	0.04524
"CR3"	"C"	5.1	0.0381	0.0337	0.0424	0.03048	0.04572
"CR3"	"C"	5.2	0.0384	0.0339	0.043	0.03072	0.04608
"CR3"	"C"	5.3	0.0388	0.0341	0.0435	0.03104	0.04656
"CR3"	"C"	5.4	0.0391	0.0343	0.044	0.03128	0.04692
"CR3"	"C"	5.5	0.0395	0.0345	0.0445	0.0316	0.0474
"CR3"	"C"	5.6	0.0398	0.0347	0.045	0.03184	0.04776
"CR3"	"C"	5.7	0.0401	0.0348	0.0454	0.03208	0.04812
"CR3"	"C"	5.8	0.0405	0.035	0.0459	0.0324	0.0486
"CR3"	"C"	5.9	0.0408	0.0351	0.0464	0.03264	0.04896
"CR3"	"C"	6	0.0411	0.0353	0.0469	0.03288	0.04932
"CR3"	"C"	6.1	0.0414	0.0354	0.0473	0.03312	0.04968
"CR3"	"C"	6.2	0.0417	0.0356	0.0478	0.03336	0.05004
"CR3"	"C"	6.3	0.042	0.0357	0.0483	0.0336	0.0504
"CR3"	"C"	6.4	0.0423	0.0358	0.0487	0.03384	0.05076
"CR3"	"C"	6.5	0.0425	0.0359	0.0491	0.034	0.051
"CR3"	"C"	6.6	0.0428	0.0361	0.0496	0.03424	0.05136
"CR3"	"C"	6.7	0.0431	0.0362	0.05	0.03448	0.05172
