Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR4	C	10	21	1	1,29	18	1	2376
CR4	C	10	21	1	1,29	18	2	2357
CR4	C	10	21	1	1,29	18	3	1855
CR4	L	10	21	1	1,29	18	1	1046
CR4	L	10	21	1	1,29	18	2	1867
CR4	L	10	21	1	1,29	18	3	2030
CR4	H	10	21	1	1,29	18	1	3021
CR4	H	10	21	1	1,29	18	2	1874
CR4	H	10	21	1	1,29	18	3	2179
CR2-CR4	C	10	21	1	1,29	18	1	568
CR2-CR4	C	10	21	1	1,29	18	2	885
CR2-CR4	C	10	21	1	1,29	18	3	840
CR2-CR4	L	10	21	1	1,29	18	1	1091
CR2-CR4	L	10	21	1	1,29	18	2	817
CR2-CR4	L	10	21	1	1,29	18	3	2088
CR2-CR4	H	10	21	1	1,29	18	1	1836
CR2-CR4	H	10	21	1	1,29	18	2	2573
CR2-CR4	H	10	21	1	1,29	18	3	2174
CR2	C	10	21	1	1,29	19	1	427
CR2	C	10	21	1	1,29	19	2	1000
CR2	C	10	21	1	1,29	19	3	416
CR2	L	10	21	1	1,29	19	1	531
CR2	L	10	21	1	1,29	19	2	1109
CR2	L	10	21	1	1,29	19	3	1248
CR2	H	10	21	1	1,29	19	1	1588
CR2	H	10	21	1	1,29	19	2	1376
CR2	H	10	21	1	1,29	19	3	2477
CR4	C	10	21	1	1,29	19	1	1660
CR4	C	10	21	1	1,29	19	2	1860
CR4	C	10	21	1	1,29	19	3	1664
CR4	L	10	21	1	1,29	19	1	1102
CR4	L	10	21	1	1,29	19	2	1752
CR4	L	10	21	1	1,29	19	3	1787
CR4	H	10	21	1	1,29	19	1	3007
CR4	H	10	21	1	1,29	19	2	1460
CR4	H	10	21	1	1,29	19	3	2466
CR2-CR4	C	10	21	1	1,29	19	1	430
CR2-CR4	C	10	21	1	1,29	19	2	593
CR2-CR4	C	10	21	1	1,29	19	3	480
CR2-CR4	L	10	21	1	1,29	19	1	910
CR2-CR4	L	10	21	1	1,29	19	2	740
CR2-CR4	L	10	21	1	1,29	19	3	2437
CR2-CR4	H	10	21	1	1,29	19	1	2799
CR2-CR4	H	10	21	1	1,29	19	2	2342
CR2-CR4	H	10	21	1	1,29	19	3	2028
CR2	C	10	21	1	1,29	20	1	460
CR2	C	10	21	1	1,29	20	2	383
CR2	C	10	21	1	1,29	20	3	742
CR2	L	10	21	1	1,29	20	1	752
CR2	L	10	21	1	1,29	20	2	743
CR2	L	10	21	1	1,29	20	3	1312
CR2	H	10	21	1	1,29	20	1	1576
CR2	H	10	21	1	1,29	20	2	1189
CR2	H	10	21	1	1,29	20	3	2225
CR4	C	10	21	1	1,29	20	1	1994
CR4	C	10	21	1	1,29	20	2	2498
CR4	C	10	21	1	1,29	20	3	2087
CR4	L	10	21	1	1,29	20	1	560
CR4	L	10	21	1	1,29	20	2	1156
CR4	L	10	21	1	1,29	20	3	1881
CR4	H	10	21	1	1,29	20	1	2637
CR4	H	10	21	1	1,29	20	2	1712
CR4	H	10	21	1	1,29	20	3	1950
CR2-CR4	C	10	21	1	1,29	20	1	453
CR2-CR4	C	10	21	1	1,29	20	2	997
CR2-CR4	C	10	21	1	1,29	20	3	428
CR2-CR4	L	10	21	1	1,29	20	1	1016
CR2-CR4	L	10	21	1	1,29	20	2	733
CR2-CR4	L	10	21	1	1,29	20	3	1842
CR2-CR4	H	10	21	1	1,29	20	1	1448
CR2-CR4	H	10	21	1	1,29	20	2	2059
CR2-CR4	H	10	21	1	1,29	20	3	2118
CR2	C	10	21	1	1,29	21	1	379
CR2	C	10	21	1	1,29	21	2	821
CR2	C	10	21	1	1,29	21	3	519
CR2	L	10	21	1	1,29	21	1	549
CR2	L	10	21	1	1,29	21	2	836
CR2	L	10	21	1	1,29	21	3	962
CR2	H	10	21	1	1,29	21	1	1535
CR2	H	10	21	1	1,29	21	2	480
CR2	H	10	21	1	1,29	21	3	2504
CR4	C	10	21	1	1,29	21	1	1759
CR4	C	10	21	1	1,29	21	2	1716
CR4	C	10	21	1	1,29	21	3	3418
