Strain	Bead	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR1	L	7,5	5	21	1	1,29	2	3949
CR1	L	7,5	5	21	1	1,29	3	3976
CR1	L	5	5	21	1	1,29	1	2327
CR1	L	5	5	21	1	1,29	2	2301
CR1	L	5	5	21	1	1,29	3	2366
CR1	L	3	5	21	1	1,29	1	1257
CR1	L	3	5	21	1	1,29	2	1233
CR1	L	3	5	21	1	1,29	3	1284
CR1	L	1	5	21	1	1,29	1	487
CR1	L	1	5	21	1	1,29	2	497
CR1	L	1	5	21	1	1,29	3	439
CR1	L	0,5	5	21	1	1,29	1	243
CR1	L	0,5	5	21	1	1,29	2	264
CR1	L	0,5	5	21	1	1,29	3	249
CR1	L	0,2	5	21	1	1,29	1	132
CR1	L	0,2	5	21	1	1,29	2	82
CR1	L	0,2	5	21	1	1,29	3	74
CR2	L	7,5	5	21	1	1,29	1	4939
CR2	L	7,5	5	21	1	1,29	2	4938
CR2	L	7,5	5	21	1	1,29	3	4726
CR2	L	5	5	21	1	1,29	1	2909
CR2	L	5	5	21	1	1,29	2	2982
CR2	L	5	5	21	1	1,29	3	2966
CR2	L	3	5	21	1	1,29	1	2005
CR2	L	3	5	21	1	1,29	2	1780
CR2	L	3	5	21	1	1,29	3	1968
CR2	L	1	5	21	1	1,29	1	508
CR2	L	1	5	21	1	1,29	2	550
CR2	L	1	5	21	1	1,29	3	664
CR2	L	0,5	5	21	1	1,29	1	282
CR2	L	0,5	5	21	1	1,29	2	282
CR2	L	0,5	5	21	1	1,29	3	293
CR2	L	0,2	5	21	1	1,29	1	143
CR2	L	0,2	5	21	1	1,29	2	111
CR2	L	0,2	5	21	1	1,29	3	106
CR3	L	7,5	5	21	1	1,29	1	5127
CR3	L	7,5	5	21	1	1,29	2	5084
CR3	L	7,5	5	21	1	1,29	3	5040
CR3	L	5	5	21	1	1,29	1	3383
CR3	L	5	5	21	1	1,29	2	3368
CR3	L	5	5	21	1	1,29	3	3343
CR3	L	3	5	21	1	1,29	1	2284
CR3	L	3	5	21	1	1,29	2	2185
CR3	L	3	5	21	1	1,29	3	2271
CR3	L	1	5	21	1	1,29	1	688
CR3	L	1	5	21	1	1,29	2	704
CR3	L	1	5	21	1	1,29	3	799
CR3	L	0,5	5	21	1	1,29	1	380
CR3	L	0,5	5	21	1	1,29	2	381
CR3	L	0,5	5	21	1	1,29	3	387
CR3	L	0,2	5	21	1	1,29	1	143
CR3	L	0,2	5	21	1	1,29	2	118
CR3	L	0,2	5	21	1	1,29	3	115
CR4	L	7,5	5	21	1	1,29	1	7563
CR4	L	7,5	5	21	1	1,29	2	7390
CR4	L	7,5	5	21	1	1,29	3	7701
CR4	L	5	5	21	1	1,29	1	5370
CR4	L	5	5	21	1	1,29	2	5505
CR4	L	5	5	21	1	1,29	3	5347
CR4	L	3	5	21	1	1,29	1	3189
CR4	L	3	5	21	1	1,29	2	3097
CR4	L	3	5	21	1	1,29	3	2930
CR4	L	1	5	21	1	1,29	1	904
CR4	L	1	5	21	1	1,29	2	927
CR4	L	1	5	21	1	1,29	3	964
CR4	L	0,5	5	21	1	1,29	1	435
CR4	L	0,5	5	21	1	1,29	2	462
CR4	L	0,5	5	21	1	1,29	3	404
CR4	L	0,2	5	21	1	1,29	1	187
CR4	L	0,2	5	21	1	1,29	2	180
CR4	L	0,2	5	21	1	1,29	3	174
CR5	L	7,5	5	21	1	1,29	1	5161
CR5	L	7,5	5	21	1	1,29	2	5281
CR5	L	7,5	5	21	1	1,29	3	5150
CR5	L	5	5	21	1	1,29	1	3447
CR5	L	5	5	21	1	1,29	2	3650
CR5	L	5	5	21	1	1,29	3	3314
CR5	L	3	5	21	1	1,29	1	2353
CR5	L	3	5	21	1	1,29	2	2385
CR5	L	3	5	21	1	1,29	3	2162
CR5	L	1	5	21	1	1,29	1	736
CR5	L	1	5	21	1	1,29	2	818
CR5	L	1	5	21	1	1,29	3	740
CR5	L	0,5	5	21	1	1,29	1	347
CR5	L	0,5	5	21	1	1,29	2	380
CR5	L	0,5	5	21	1	1,29	3	277
CR5	L	0,2	5	21	1	1,29	1	124
CR5	L	0,2	5	21	1	1,29	2	143
CR5	L	0,2	5	21	1	1,29	3	147
CR6	L	7,5	5	21	1	1,29	1	4943
CR6	L	7,5	5	21	1	1,29	2	4670
CR6	L	7,5	5	21	1	1,29	3	4601
CR6	L	5	5	21	1	1,29	1	3163
CR6	L	5	5	21	1	1,29	2	3238
CR6	L	5	5	21	1	1,29	3	3445
CR6	L	3	5	21	1	1,29	1	2274
CR6	L	3	5	21	1	1,29	2	2343
CR6	L	3	5	21	1	1,29	3	2237
CR6	L	1	5	21	1	1,29	1	632
CR6	L	1	5	21	1	1,29	2	691
CR6	L	1	5	21	1	1,29	3	672
CR6	L	0,5	5	21	1	1,29	1	347
CR6	L	0,5	5	21	1	1,29	2	346
CR6	L	0,5	5	21	1	1,29	3	313
CR6	L	0,2	5	21	1	1,29	1	116
CR6	L	0,2	5	21	1	1,29	2	139
CR6	L	0,2	5	21	1	1,29	3	138
CR1	M	7,5	5	21	1	1,29	1	6017
CR1	M	7,5	5	21	1	1,29	2	5955
CR1	M	7,5	5	21	1	1,29	3	5980
CR1	M	5	5	21	1	1,29	1	3877
CR1	M	5	5	21	1	1,29	2	3858
CR1	M	5	5	21	1	1,29	3	3822
CR1	M	3	5	21	1	1,29	1	1956
CR1	M	3	5	21	1	1,29	2	1925
CR1	M	3	5	21	1	1,29	3	1971
CR1	M	1	5	21	1	1,29	1	589
CR1	M	1	5	21	1	1,29	2	559
CR1	M	1	5	21	1	1,29	3	574
CR1	M	0,5	5	21	1	1,29	1	184
CR1	M	0,5	5	21	1	1,29	2	190
CR1	M	0,5	5	21	1	1,29	3	199
CR1	M	0,2	5	21	1	1,29	1	76
CR1	M	0,2	5	21	1	1,29	2	77
CR1	M	0,2	5	21	1	1,29	3	73
CR2	M	7,5	5	21	1	1,29	1	6009
CR2	M	7,5	5	21	1	1,29	2	6056
CR2	M	7,5	5	21	1	1,29	3	6036
CR2	M	5	5	21	1	1,29	1	4075
CR2	M	5	5	21	1	1,29	2	4044
CR2	M	5	5	21	1	1,29	3	4039
CR2	M	3	5	21	1	1,29	1	2220
CR2	M	3	5	21	1	1,29	2	2236
CR2	M	3	5	21	1	1,29	3	2302
CR2	M	1	5	21	1	1,29	1	672
CR2	M	1	5	21	1	1,29	2	654
CR2	M	1	5	21	1	1,29	3	641
CR2	M	0,5	5	21	1	1,29	1	281
CR2	M	0,5	5	21	1	1,29	2	285
CR2	M	0,5	5	21	1	1,29	3	262
CR2	M	0,2	5	21	1	1,29	1	93
CR2	M	0,2	5	21	1	1,29	2	95
CR2	M	0,2	5	21	1	1,29	3	83
CR3	M	7,5	5	21	1	1,29	1	6283
CR3	M	7,5	5	21	1	1,29	2	6316
CR3	M	7,5	5	21	1	1,29	3	6317
CR3	M	5	5	21	1	1,29	1	4276
CR3	M	5	5	21	1	1,29	2	4150
CR3	M	5	5	21	1	1,29	3	4255
CR3	M	3	5	21	1	1,29	1	2473
CR3	M	3	5	21	1	1,29	2	2407
CR3	M	3	5	21	1	1,29	3	2490
CR3	M	1	5	21	1	1,29	1	800
CR3	M	1	5	21	1	1,29	2	774
CR3	M	1	5	21	1	1,29	3	770
CR3	M	0,5	5	21	1	1,29	1	332
CR3	M	0,5	5	21	1	1,29	2	304
CR3	M	0,5	5	21	1	1,29	3	294
CR3	M	0,2	5	21	1	1,29	1	111
CR3	M	0,2	5	21	1	1,29	2	122
