Strain	Bead	Day	Dilu	Trial	Count
CR2	L	9	3	3	1
CR2	H	9	3	1	17
CR2	H	9	3	2	0
CR2	H	9	3	3	44
CR4	C	9	3	1	8
CR4	C	9	3	2	35
CR4	C	9	3	3	27
CR4	L	9	3	1	72
CR4	L	9	3	2	17
CR4	L	9	3	3	10
CR4	H	9	3	1	12
CR4	H	9	3	2	29
CR4	H	9	3	3	30
CR2-CR4	C	9	3	1	39
CR2-CR4	C	9	3	2	66
CR2-CR4	C	9	3	3	42
CR2-CR4	L	9	3	1	33
CR2-CR4	L	9	3	2	24
CR2-CR4	L	9	3	3	9
CR2-CR4	H	9	3	1	11
CR2-CR4	H	9	3	2	4
CR2-CR4	H	9	3	3	6
CR2	C	10	3	1	112
CR2	C	10	3	2	3
CR2	C	10	3	3	39
CR2	L	10	3	1	41
CR2	L	10	3	2	2
CR2	L	10	3	3	0
CR2	H	10	3	1	34
CR2	H	10	3	2	0
CR2	H	10	3	3	76
CR4	C	10	3	1	7
CR4	C	10	3	2	40
CR4	C	10	3	3	20
CR4	L	10	3	1	89
CR4	L	10	3	2	28
CR4	L	10	3	3	23
CR4	H	10	3	1	15
CR4	H	10	3	2	22
CR4	H	10	3	3	16
CR2-CR4	C	10	3	1	34
CR2-CR4	C	10	3	2	67
CR2-CR4	C	10	3	3	33
CR2-CR4	L	10	3	1	60
CR2-CR4	L	10	3	2	37
CR2-CR4	L	10	3	3	7
CR2-CR4	H	10	3	1	11
CR2-CR4	H	10	3	2	13
CR2-CR4	H	10	3	3	3
CR2	C	11	3	1	98
CR2	C	11	3	2	3
CR2	C	11	3	3	46
CR2	L	11	3	1	38
CR2	L	11	3	2	6
CR2	L	11	3	3	0
CR2	H	11	3	1	70
CR2	H	11	3	2	0
CR2	H	11	3	3	96
CR4	C	11	3	1	13
CR4	C	11	3	2	49
CR4	C	11	3	3	15
CR4	L	11	3	1	81
CR4	L	11	3	2	29
CR4	L	11	3	3	34
CR4	H	11	3	1	6
CR4	H	11	3	2	14
CR4	H	11	3	3	14
CR2-CR4	C	11	3	1	46
CR2-CR4	C	11	3	2	72
CR2-CR4	C	11	3	3	29
CR2-CR4	L	11	3	1	44
CR2-CR4	L	11	3	2	49
CR2-CR4	L	11	3	3	9
CR2-CR4	H	11	3	1	7
CR2-CR4	H	11	3	2	16
CR2-CR4	H	11	3	3	13
CR2	C	12	3	1	98
CR2	C	12	3	2	4
CR2	C	12	3	3	16
CR2	L	12	3	1	133
CR2	L	12	3	2	4
CR2	L	12	3	3	1
CR2	H	12	3	1	74
CR2	H	12	3	2	0
CR2	H	12	3	3	92
CR4	C	12	3	1	14
CR4	C	12	3	2	65
CR4	C	12	3	3	20
CR4	L	12	3	1	82
CR4	L	12	3	2	42
CR4	L	12	3	3	39
CR4	H	12	3	1	16
CR4	H	12	3	2	10
CR4	H	12	3	3	20
CR2-CR4	C	12	3	1	43
CR2-CR4	C	12	3	2	87
CR2-CR4	C	12	3	3	59
CR2-CR4	L	12	3	1	43
CR2-CR4	L	12	3	2	68
CR2-CR4	L	12	3	3	10
CR2-CR4	H	12	3	1	1
CR2-CR4	H	12	3	2	20
CR2-CR4	H	12	3	3	11
CR2	C	13	3	1	88
CR2	C	13	3	2	9
CR2	C	13	3	3	11
CR2	L	13	3	1	162
CR2	L	13	3	2	5
CR2	L	13	3	3	2
CR2	H	13	3	1	100
CR2	H	13	3	2	0
CR2	H	13	3	3	100
CR4	C	13	3	1	21
CR4	C	13	3	2	60
CR4	C	13	3	3	29
CR4	L	13	3	1	112
CR4	L	13	3	2	58
CR4	L	13	3	3	108
CR4	H	13	3	1	20
CR4	H	13	3	2	5
CR4	H	13	3	3	16
CR2-CR4	C	13	3	1	73
CR2-CR4	C	13	3	2	36
CR2-CR4	C	13	3	3	54
CR2-CR4	L	13	3	1	34
CR2-CR4	L	13	3	2	76
CR2-CR4	L	13	3	3	11
CR2-CR4	H	13	3	1	2
CR2-CR4	H	13	3	2	22
CR2-CR4	H	13	3	3	5
CR2	C	14	3	1	80
CR2	C	14	3	2	8
CR2	C	14	3	3	6
CR2	L	14	3	1	172
CR2	L	14	3	2	4
CR2	L	14	3	3	2
CR2	H	14	3	1	120
CR2	H	14	3	2	0
CR2	H	14	3	3	108
CR4	C	14	3	1	25
CR4	C	14	3	2	88
CR4	C	14	3	3	22
CR4	L	14	3	1	100
CR4	L	14	3	2	52
CR4	L	14	3	3	82
CR4	H	14	3	1	16
CR4	H	14	3	2	2
CR4	H	14	3	3	20
CR2-CR4	C	14	3	1	106
CR2-CR4	C	14	3	2	42
CR2-CR4	C	14	3	3	86
CR2-CR4	L	14	3	1	47
CR2-CR4	L	14	3	2	68
CR2-CR4	L	14	3	3	8
CR2-CR4	H	14	3	1	1
CR2-CR4	H	14	3	2	26
CR2-CR4	H	14	3	3	15
CR2	C	15	3	1	112
CR2	C	15	3	2	6
CR2	C	15	3	3	1
CR2	L	15	3	1	94
CR2	L	15	3	2	5
CR2	L	15	3	3	3
CR2	H	15	3	1	140
CR2	H	15	3	2	0
CR2	H	15	3	3	154
CR4	C	15	3	1	31
CR4	C	15	3	2	74
CR4	C	15	3	3	27
CR4	L	15	3	1	82
CR4	L	15	3	2	64
CR4	L	15	3	3	66
CR4	H	15	3	1	19
CR4	H	15	3	2	2
CR4	H	15	3	3	36
CR2-CR4	C	15	3	1	78
CR2-CR4	C	15	3	2	49
CR2-CR4	C	15	3	3	98
CR2-CR4	L	15	3	1	34
CR2-CR4	L	15	3	2	77
CR2-CR4	L	15	3	3	6
CR2-CR4	H	15	3	1	1
CR2-CR4	H	15	3	2	27
CR2-CR4	H	15	3	3	20
CR2	C	16	3	1	80
CR2	C	16	3	2	6
CR2	C	16	3	3	2
CR2	L	16	3	1	138
CR2	L	16	3	2	5
CR2	L	16	3	3	2
CR2	H	16	3	1	102
CR2	H	16	3	2	0
CR2	H	16	3	3	134
CR4	C	16	3	1	58
CR4	C	16	3	2	50
CR4	C	16	3	3	18
CR4	L	16	3	1	122
CR4	L	16	3	2	64
CR4	L	16	3	3	90
CR4	H	16	3	1	27
CR4	H	16	3	2	1
CR4	H	16	3	3	22
CR2-CR4	C	16	3	1	64
CR2-CR4	C	16	3	2	58
CR2-CR4	C	16	3	3	170
CR2-CR4	L	16	3	1	28
CR2-CR4	L	16	3	2	94
CR2-CR4	L	16	3	3	8
CR2-CR4	H	16	3	1	1
CR2-CR4	H	16	3	2	26
CR2-CR4	H	16	3	3	22
CR2	C	17	3	1	90
