Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR2	L	5	21	2	1,29	6	1	835
CR2	L	5	21	2	1,29	6	2	834
CR2	L	5	21	2	1,29	6	3	888
CR2	M	5	21	2	1,29	6	1	794
CR2	M	5	21	2	1,29	6	2	556
CR2	M	5	21	2	1,29	6	3	822
CR2	H	5	21	2	1,29	6	1	852
CR2	H	5	21	2	1,29	6	2	830
CR2	H	5	21	2	1,29	6	3	894
CR4	C	5	21	2	1,29	6	1	2587
CR4	C	5	21	2	1,29	6	2	2042
CR4	C	5	21	2	1,29	6	3	2496
CR4	L	5	21	2	1,29	6	1	2352
CR4	L	5	21	2	1,29	6	2	2302
CR4	L	5	21	2	1,29	6	3	1974
CR4	M	5	21	2	1,29	6	1	3200
CR4	M	5	21	2	1,29	6	2	3144
CR4	M	5	21	2	1,29	6	3	3133
CR4	H	5	21	2	1,29	6	1	2816
CR4	H	5	21	2	1,29	6	2	2849
CR4	H	5	21	2	1,29	6	3	2828
CR2-CR4	C	5	21	2	1,29	6	1	909
CR2-CR4	C	5	21	2	1,29	6	2	1057
CR2-CR4	C	5	21	2	1,29	6	3	1270
CR2-CR4	L	5	21	2	1,29	6	1	1269
CR2-CR4	L	5	21	2	1,29	6	2	963
CR2-CR4	L	5	21	2	1,29	6	3	907
CR2-CR4	M	5	21	2	1,29	6	1	1935
CR2-CR4	M	5	21	2	1,29	6	2	1778
CR2-CR4	M	5	21	2	1,29	6	3	1966
CR2-CR4	H	5	21	2	1,29	6	1	2180
CR2-CR4	H	5	21	2	1,29	6	2	2407
CR2-CR4	H	5	21	2	1,29	6	3	2127
CR7-CR4	C	5	21	2	1,29	6	1	1696
CR7-CR4	C	5	21	2	1,29	6	2	1874
CR7-CR4	C	5	21	2	1,29	6	3	2180
CR7-CR4	L	5	21	2	1,29	6	1	1681
CR7-CR4	L	5	21	2	1,29	6	2	1521
CR7-CR4	L	5	21	2	1,29	6	3	1525
CR7-CR4	M	5	21	2	1,29	6	1	2701
CR7-CR4	M	5	21	2	1,29	6	2	2614
CR7-CR4	M	5	21	2	1,29	6	3	2799
CR7-CR4	H	5	21	2	1,29	6	1	1873
CR7-CR4	H	5	21	2	1,29	6	2	2026
CR7-CR4	H	5	21	2	1,29	6	3	1937
CR2	C	5	21	2	1,29	7	1	1308
CR2	C	5	21	2	1,29	7	2	1034
CR2	C	5	21	2	1,29	7	3	1419
CR2	L	5	21	2	1,29	7	1	786
CR2	L	5	21	2	1,29	7	2	1211
CR2	L	5	21	2	1,29	7	3	1145
CR2	M	5	21	2	1,29	7	1	1167
CR2	M	5	21	2	1,29	7	2	627
CR2	M	5	21	2	1,29	7	3	1110
CR2	H	5	21	2	1,29	7	1	1054
CR2	H	5	21	2	1,29	7	2	991
CR2	H	5	21	2	1,29	7	3	1035
CR4	C	5	21	2	1,29	7	1	2176
CR4	C	5	21	2	1,29	7	2	1262
CR4	C	5	21	2	1,29	7	3	1938
CR4	L	5	21	2	1,29	7	1	2215
CR4	L	5	21	2	1,29	7	2	1913
CR4	L	5	21	2	1,29	7	3	1342
CR4	M	5	21	2	1,29	7	1	3327
CR4	M	5	21	2	1,29	7	2	2971
CR4	M	5	21	2	1,29	7	3	3356
CR4	H	5	21	2	1,29	7	1	2991
CR4	H	5	21	2	1,29	7	2	2821
CR4	H	5	21	2	1,29	7	3	2976
CR2-CR4	C	5	21	2	1,29	7	1	497
CR2-CR4	C	5	21	2	1,29	7	2	532
CR2-CR4	C	5	21	2	1,29	7	3	628
CR2-CR4	L	5	21	2	1,29	7	1	987
CR2-CR4	L	5	21	2	1,29	7	2	518
CR2-CR4	L	5	21	2	1,29	7	3	579
CR2-CR4	M	5	21	2	1,29	7	1	2001
CR2-CR4	M	5	21	2	1,29	7	2	1659
CR2-CR4	M	5	21	2	1,29	7	3	1962
CR2-CR4	H	5	21	2	1,29	7	1	2050
CR2-CR4	H	5	21	2	1,29	7	2	2214
CR2-CR4	H	5	21	2	1,29	7	3	2146
CR7-CR4	C	5	21	2	1,29	7	1	1079
CR7-CR4	C	5	21	2	1,29	7	2	1306
CR7-CR4	C	5	21	2	1,29	7	3	1915
CR7-CR4	L	5	21	2	1,29	7	1	1547
CR7-CR4	L	5	21	2	1,29	7	2	1520
CR7-CR4	L	5	21	2	1,29	7	3	1440
CR7-CR4	M	5	21	2	1,29	7	1	2702
CR7-CR4	M	5	21	2	1,29	7	2	2523
CR7-CR4	M	5	21	2	1,29	7	3	2782
CR7-CR4	H	5	21	2	1,29	7	1	2032
CR7-CR4	H	5	21	2	1,29	7	2	2185
CR7-CR4	H	5	21	2	1,29	7	3	2159
CR2	C	5	21	2	1,29	8	1	1242
CR2	C	5	21	2	1,29	8	2	839
CR2	C	5	21	2	1,29	8	3	1336
CR2	L	5	21	2	1,29	8	1	830
CR2	L	5	21	2	1,29	8	2	1266
CR2	L	5	21	2	1,29	8	3	1143
CR2	M	5	21	2	1,29	8	1	1459
CR2	M	5	21	2	1,29	8	2	751
CR2	M	5	21	2	1,29	8	3	1357
CR2	H	5	21	2	1,29	8	1	857
CR2	H	5	21	2	1,29	8	2	887
CR2	H	5	21	2	1,29	8	3	1089
CR4	C	5	21	2	1,29	8	1	1045
CR4	C	5	21	2	1,29	8	2	397
CR4	C	5	21	2	1,29	8	3	775
CR4	L	5	21	2	1,29	8	1	1053
CR4	L	5	21	2	1,29	8	2	710
CR4	L	5	21	2	1,29	8	3	511
CR4	M	5	21	2	1,29	8	1	3255
CR4	M	5	21	2	1,29	8	2	3153
CR4	M	5	21	2	1,29	8	3	3470
CR4	H	5	21	2	1,29	8	1	3062
CR4	H	5	21	2	1,29	8	2	3105
CR4	H	5	21	2	1,29	8	3	3200
CR2-CR4	C	5	21	2	1,29	8	1	220
CR2-CR4	C	5	21	2	1,29	8	2	315
CR2-CR4	C	5	21	2	1,29	8	3	231
CR2-CR4	L	5	21	2	1,29	8	1	554
CR2-CR4	L	5	21	2	1,29	8	2	390
CR2-CR4	L	5	21	2	1,29	8	3	361
CR2-CR4	M	5	21	2	1,29	8	1	1860
CR2-CR4	M	5	21	2	1,29	8	2	1403
CR2-CR4	M	5	21	2	1,29	8	3	1473
CR2-CR4	H	5	21	2	1,29	8	1	2336
CR2-CR4	H	5	21	2	1,29	8	2	2424
CR2-CR4	H	5	21	2	1,29	8	3	2442
CR7-CR4	C	5	21	2	1,29	8	1	351
CR7-CR4	C	5	21	2	1,29	8	2	495
CR7-CR4	C	5	21	2	1,29	8	3	910
CR7-CR4	L	5	21	2	1,29	8	1	982
CR7-CR4	L	5	21	2	1,29	8	2	854
CR7-CR4	L	5	21	2	1,29	8	3	951
CR7-CR4	M	5	21	2	1,29	8	1	2485
CR7-CR4	M	5	21	2	1,29	8	2	2306
CR7-CR4	M	5	21	2	1,29	8	3	2764
CR7-CR4	H	5	21	2	1,29	8	1	2257
CR7-CR4	H	5	21	2	1,29	8	2	2471
CR7-CR4	H	5	21	2	1,29	8	3	2473
CR2	C	5	21	2	1,29	9	1	1043
CR2	C	5	21	2	1,29	9	2	684
CR2	C	5	21	2	1,29	9	3	1012
CR2	L	5	21	2	1,29	9	1	534
CR2	L	5	21	2	1,29	9	2	883
CR2	L	5	21	2	1,29	9	3	713
CR2	M	5	21	2	1,29	9	1	1543
CR2	M	5	21	2	1,29	9	2	947
CR2	M	5	21	2	1,29	9	3	1394
CR2	H	5	21	2	1,29	9	1	953
CR2	H	5	21	2	1,29	9	2	1098
CR2	H	5	21	2	1,29	9	3	1124
CR4	C	5	21	2	1,29	9	1	239
CR4	C	5	21	2	1,29	9	2	306
CR4	C	5	21	2	1,29	9	3	248
CR4	L	5	21	2	1,29	9	1	506
CR4	L	5	21	2	1,29	9	2	362
CR4	L	5	21	2	1,29	9	3	295
CR4	M	5	21	2	1,29	9	1	3193
CR4	M	5	21	2	1,29	9	2	2888
CR4	M	5	21	2	1,29	9	3	3658
CR4	H	5	21	2	1,29	9	1	2637
CR4	H	5	21	2	1,29	9	2	2622
CR4	H	5	21	2	1,29	9	3	2758
CR2-CR4	C	5	21	2	1,29	9	1	139
CR2-CR4	C	5	21	2	1,29	9	2	209
CR2-CR4	C	5	21	2	1,29	9	3	97
CR2-CR4	L	5	21	2	1,29	9	1	328
CR2-CR4	L	5	21	2	1,29	9	2	244
CR2-CR4	L	5	21	2	1,29	9	3	228
CR2-CR4	M	5	21	2	1,29	9	1	1425
CR2-CR4	M	5	21	2	1,29	9	2	652
CR2-CR4	M	5	21	2	1,29	9	3	745
CR2-CR4	H	5	21	2	1,29	9	1	2439
CR2-CR4	H	5	21	2	1,29	9	2	2506
CR2-CR4	H	5	21	2	1,29	9	3	2435
CR7-CR4	C	5	21	2	1,29	9	1	197
CR7-CR4	C	5	21	2	1,29	9	2	213
CR7-CR4	C	5	21	2	1,29	9	3	304
CR7-CR4	L	5	21	2	1,29	9	1	429
CR7-CR4	L	5	21	2	1,29	9	2	411
CR7-CR4	L	5	21	2	1,29	9	3	432
CR7-CR4	M	5	21	2	1,29	9	1	2350
CR7-CR4	M	5	21	2	1,29	9	2	2099
CR7-CR4	M	5	21	2	1,29	9	3	2433
CR7-CR4	H	5	21	2	1,29	9	1	2264
CR7-CR4	H	5	21	2	1,29	9	2	2522
CR7-CR4	H	5	21	2	1,29	9	3	2335
CR2	C	5	21	2	1,29	10	1	487
CR2	C	5	21	2	1,29	10	2	288
CR2	C	5	21	2	1,29	10	3	551
CR2	L	5	21	2	1,29	10	1	367
CR2	L	5	21	2	1,29	10	2	721
CR2	L	5	21	2	1,29	10	3	446
CR2	M	5	21	2	1,29	10	1	1329
CR2	M	5	21	2	1,29	10	2	739
CR2	M	5	21	2	1,29	10	3	1204
CR2	H	5	21	2	1,29	10	1	1118
CR2	H	5	21	2	1,29	10	2	1212
CR2	H	5	21	2	1,29	10	3	1133
CR4	C	5	21	2	1,29	10	1	170
CR4	C	5	21	2	1,29	10	2	220
CR4	C	5	21	2	1,29	10	3	146
CR4	L	5	21	2	1,29	10	1	327
CR4	L	5	21	2	1,29	10	2	269
CR4	L	5	21	2	1,29	10	3	206
CR4	M	5	21	2	1,29	10	1	3114
CR4	M	5	21	2	1,29	10	2	2110
CR4	M	5	21	2	1,29	10	3	3587
CR4	H	5	21	2	1,29	10	1	2908
CR4	H	5	21	2	1,29	10	2	2846
CR4	H	5	21	2	1,29	10	3	2841
CR2-CR4	C	5	21	2	1,29	10	1	130
CR2-CR4	C	5	21	2	1,29	10	2	143
CR2-CR4	C	5	21	2	1,29	10	3	66
CR2-CR4	L	5	21	2	1,29	10	1	198
CR2-CR4	L	5	21	2	1,29	10	2	181
CR2-CR4	L	5	21	2	1,29	10	3	189
CR2-CR4	M	5	21	2	1,29	10	1	875
CR2-CR4	M	5	21	2	1,29	10	2	347
CR2-CR4	M	5	21	2	1,29	10	3	471
CR2-CR4	H	5	21	2	1,29	10	1	2464
CR2-CR4	H	5	21	2	1,29	10	2	2570
CR2-CR4	H	5	21	2	1,29	10	3	2404
CR7-CR4	C	5	21	2	1,29	10	1	114
CR7-CR4	C	5	21	2	1,29	10	2	120
CR7-CR4	C	5	21	2	1,29	10	3	71
CR7-CR4	L	5	21	2	1,29	10	1	190
CR7-CR4	L	5	21	2	1,29	10	2	107
CR7-CR4	L	5	21	2	1,29	10	3	165
CR7-CR4	M	5	21	2	1,29	10	1	2381
CR7-CR4	M	5	21	2	1,29	10	2	1751
CR7-CR4	M	5	21	2	1,29	10	3	2248
CR7-CR4	H	5	21	2	1,29	10	1	2306
CR7-CR4	H	5	21	2	1,29	10	2	2455
CR7-CR4	H	5	21	2	1,29	10	3	2345
